n,k,a,eta,defect,ratio_sqrt,ratio_linear,rank,eig_cond,trial,seed
4,2,0.1,0.1390208915232307,0.034730494173887946,0.09314744100309934,0.24982212236845286,2,2.4067914477487684,4,20260602
4,2,0.03,0.04498074983116107,0.010435941459993757,0.049206025669793665,0.23200905941243574,2,2.5663530887967396,4,20260602
4,2,0.01,0.015305438741262448,0.0034786475607459623,0.028118201490212588,0.22728179306404064,2,2.614527266988097,4,20260602
4,2,0.003,0.004624376446120613,0.0010434106492735469,0.01534364969305296,0.2256327229044823,2,2.6316475832860857,4,20260602
4,2,0.1,0.12014061757551787,0.008585317416741721,0.024769168438753163,0.07146057336807987,2,3.1004506324409014,5,20260602
4,2,0.03,0.03802481018087814,0.0025438407010303955,0.013045369489356022,0.06689949769452468,2,3.0647575749922233,5,20260602
4,2,0.01,0.012863758146790158,0.0008437917268181973,0.007439629875856182,0.06559449557349967,2,3.0565009877019413,5,20260602
4,2,0.003,0.0038789536931192726,0.0002521511415809033,0.004048588537582597,0.06500493729228697,2,3.053785653241965,5,20260602
4,2,0.1,0.09124825675805698,0.009546617389483055,0.03160364895091281,0.1046224632520458,2,3.8379119369791397,6,20260602
4,2,0.03,0.029046118675226835,0.00223254110354905,0.013099520828505606,0.07686194250294666,2,4.054666484227787,6,20260602
4,2,0.01,0.009901035582837938,0.0007027205130646452,0.007062237531239902,0.07097444577239102,2,4.1205123641321775,6,20260602
4,2,0.003,0.0029933052574164414,0.0002066386359652569,0.0037769046601474,0.06903359938090953,2,4.143966679866617,6,20260602
4,2,0.1,0.1405358782357051,0.030838675674648878,0.08226253973548861,0.21943631805485728,2,2.764203410815853,7,20260602
4,2,0.03,0.04510619272564191,0.009734540188812181,0.04583501278623616,0.2158138295560091,2,2.910487621794922,7,20260602
4,2,0.01,0.01531591464711208,0.003285934372822303,0.02655139946250432,0.21454378981159236,2,2.9563958711628513,7,20260602
4,2,0.003,0.004624228686683072,0.0009848054544183856,0.014482075041537885,0.21296642556940235,2,2.973447566363914,7,20260602
4,2,0.1,0.14397987986160254,0.036371599880257934,0.0958542782379786,0.2526158510148732,2,2.5068792231050727,8,20260602
4,2,0.03,0.047270255431598296,0.009812515349283929,0.045132186546687755,0.2075832943928763,2,2.720925071058558,8,20260602
4,2,0.01,0.016144970046067773,0.003140583812468114,0.024716772832390432,0.19452397889292006,2,2.788039116120302,8,20260602
4,2,0.003,0.0048842539285514006,0.0009358763459204506,0.01339119559407931,0.19161091122836402,2,2.8121827929375316,8,20260602
4,2,0.1,0.1146757035109125,0.016377187591242612,0.048361929218368224,0.14281305533638314,2,31.731699649791388,9,20260602
4,2,0.03,0.0370970042610754,0.006746577111278137,0.0350278973729267,0.18186312468247162,2,9.795988276803117,9,20260602
4,2,0.01,0.01262226744014918,0.0023998586403555866,0.02136077336329133,0.19012896468364032,2,8.709715392776923,9,20260602
4,2,0.003,0.003813623164122668,0.0007316725570792231,0.011848077267498881,0.19185759200399283,2,8.421090390533138,9,20260602
4,2,0.1,0.14921009032576682,0.020969071285406347,0.054285032161785596,0.14053386898717823,2,10.729400296111145,10,20260602
4,2,0.03,0.047336232913527405,0.005263646123952812,0.024193006230741703,0.11119697956464561,2,18.2025977654698,10,20260602
4,2,0.01,0.016023811525061302,0.001679207263669906,0.01326543176901184,0.10479449668036968,2,24.71428329086107,10,20260602
4,2,0.003,0.004832875515676307,0.0005280346270440042,0.007595556504905922,0.1092588926263936,2,29.156270818869064,10,20260602
4,2,0.1,0.09835185031672224,0.026828083142417972,0.08554573777863682,0.27277659806118093,2,2.4984461673868172,11,20260602
4,2,0.03,0.03088420614300188,0.008625470429887682,0.049081131851178406,0.27928418784505965,2,2.6653694262191667,11,20260602
4,2,0.01,0.010426035480808645,0.002943428008023978,0.028826626348016728,0.2823151727655242,2,2.714267533420699,11,20260602
4,2,0.003,0.003141597154722323,0.0008891088301029102,0.015862793692965504,0.2830117250286013,2,2.7315105189964473,11,20260602
4,2,0.1,0.12739918000501335,0.02557808675197019,0.07166130944906653,0.20077120395094894,2,2.648062215054101,12,20260602
4,2,0.03,0.04092821302600498,0.0074235907284560376,0.036694639809052645,0.1813807684136914,2,2.839865346868335,12,20260602
4,2,0.01,0.013900686153858761,0.00244608597227295,0.020746918362438724,0.175968721629898,2,2.898191332447358,12,20260602
4,2,0.003,0.004197290436402762,0.0007309088054267669,0.011281807446390188,0.17413824859191387,2,2.9189707425701075,12,20260602
4,2,0.1,0.1479264704057744,0.04216736562527719,0.1096360858286442,0.2850562547028173,2,3.2417401853921555,13,20260602
4,2,0.03,0.0473909291189948,0.010578458502818975,0.048593118942867546,0.22321694677598153,2,3.358601431554053,13,20260602
4,2,0.01,0.01608392761083283,0.0033590747975659305,0.02648644184342583,0.20884667469552212,2,3.390997789019559,13,20260602
4,2,0.003,0.004855308163222393,0.0009910941494204496,0.014223501165453439,0.20412590016998544,2,3.4022336622205467,13,20260602
4,2,0.1,0.08170934101052403,0.03261257414552921,0.11409043225151924,0.39912908049679124,2,2.8240676076362323,14,20260602
4,2,0.03,0.025572626495638445,0.009521007186271394,0.0595381348222963,0.37231244854318174,2,3.040946795811836,14,20260602
4,2,0.01,0.008625144469258664,0.0031467819178870146,0.03388312491530304,0.36483816927387447,2,3.1076522293979436,14,20260602
4,2,0.003,0.0025981415827023707,0.0009400684531188747,0.01844285161011756,0.36182341231038445,2,3.131502145837296,14,20260602
4,2,0.1,0.10522036079358585,0.03207357197669253,0.09887749058500347,0.3048228663615047,2,3.330570043688799,15,20260602
4,2,0.03,0.032559502547570084,0.009553470731713826,0.05294467624151208,0.2934157460715505,2,3.6401547386050916,15,20260602
4,2,0.01,0.010947776497713304,0.003228460550818945,0.0308554953392777,0.29489646153200916,2,3.7365396688272337,15,20260602
4,2,0.003,0.003294266892408864,0.0009635183145988738,0.016787289630451546,0.29248337978296624,2,3.7711584501518165,15,20260602
4,3,0.1,0.15933078233856846,0.01604316655917596,0.040192058333635435,0.10069094197432096,3,1.9969652083558858,0,20260602
4,3,0.03,0.05204324925670278,0.006246297159869198,0.02738044105980448,0.12002127555601695,3,2.0007641760266894,0,20260602
4,3,0.01,0.017751941614627852,0.0019505080714964074,0.014639452045923686,0.10987575972473687,3,2.004676518604419,0,20260602
4,3,0.003,0.005368022629939733,0.000559104569137418,0.007631077644466531,0.10415465948654078,3,2.0062387238797688,0,20260602
4,3,0.1,0.15977068835396563,0.045539563832938515,0.11393058138439681,0.28503077943838745,3,3.746052614507208,1,20260602
4,3,0.03,0.051884959259168695,0.014523001588736557,0.06375814085614177,0.27990773812104647,3,3.719994831846768,1,20260602
4,3,0.01,0.017671534300958986,0.004816610483532029,0.03623300864188198,0.272563230871846,3,3.715113937908027,1,20260602
4,3,0.003,0.00534099781781743,0.0014629318519317808,0.02001764096457356,0.27390609429786283,3,3.7135942281820107,1,20260602
4,3,0.1,0.16037636465908126,0.02482100931974428,0.06197966937633974,0.1547672524720668,3,1.8652633000221028,2,20260602
4,3,0.03,0.053375404407343924,0.007365451786015149,0.03188076996803623,0.13799336731585937,3,1.8976375495476845,2,20260602
4,3,0.01,0.018292991470030738,0.0019797417095978468,0.014637475024204993,0.10822405470648373,3,1.9078774896197936,2,20260602
4,3,0.003,0.005540522391105392,0.000707389103319002,0.009503487513719587,0.1276755246860162,3,1.9115483980891,2,20260602
4,3,0.1,0.15271708683384616,0.04124837145335554,0.10555115527924522,0.27009663626070296,3,1.729549871020063,3,20260602
4,3,0.03,0.04974723128814836,0.010183894216321411,0.04565931819032647,0.20471278406096124,3,1.7722612353590406,3,20260602
4,3,0.01,0.016956896642525098,0.0034251575567147974,0.02630312611449415,0.20199200531334652,3,1.7856540285448428,3,20260602
4,3,0.003,0.005126390045137482,0.0010292488165819487,0.014375221756267485,0.20077458162946824,3,1.7904400542619376,3,20260602
4,3,0.1,0.11542747934620252,0.008598015491754681,0.025307172034714043,0.07448846271663428,3,1.8834950334342162,4,20260602
4,3,0.03,0.03705699863770991,0.002430427477724838,0.01262546975299765,0.06558619335273387,3,1.8869056231857135,4,20260602
