vector_rank,a,eta,defect,ratio_sqrt,ratio_linear,rank,eig_cond,positivity_margin_phi1,trial,seed
1,0.03,0.0332450778700821,6.2400559259116e-32,3.4223530138417885e-31,1.8769864069192476e-30,2,1.7156984518873695,0.07104349902237417,5,20260605
1,0.01,0.011276892633349463,7.703739382614237e-32,7.2544895493955335e-31,6.831438085906536e-30,2,1.748761534574211,0.07104349902237417,5,20260605
1,0.003,0.003403585310784375,2.7733393750306076e-32,4.753732037028839e-31,8.148288119128932e-30,2,1.7605576343076583,0.07104349902237417,5,20260605
1,0.001,0.001136483152988765,2.7733392991294985e-32,8.226621281212144e-31,2.4402819274848633e-29,2,1.763949402584267,0.07104349902237417,5,20260605
1,0.1,0.09191538518705591,7.714861030807848e-32,2.5446848352216784e-31,8.393438176979215e-31,2,1.6515133136468914,0.08395465095520627,6,20260605
1,0.03,0.028696271754814907,7.704133092101452e-32,4.547901380020058e-31,2.6847156863883497e-30,2,1.646059158508906,0.08395465095520627,6,20260605
1,0.01,0.00967354259479162,7.703759639222565e-32,7.832672171976558e-31,7.963741890556603e-30,2,1.6453287010917634,0.08395465095520627,6,20260605
1,0.003,0.0029134531116688763,2.773342201350765e-32,5.138063221279879e-31,9.519089873947367e-30,2,1.645151724824137,0.08395465095520627,6,20260605
1,0.001,0.0009722370073185992,7.703720629560309e-32,2.4706683450559556e-30,7.923706433276945e-29,2,1.645108432752115,0.08395465095520627,6,20260605
1,0.1,0.14125166593119767,7.703103953900791e-32,2.0495993252412145e-31,5.453460603893266e-31,2,2.5756902902402574,0.09034498237747801,7,20260605
1,0.03,0.04583073069769502,3.7767142880500225e-32,1.7641509405584678e-31,8.24057184023899e-31,2,2.695339051633212,0.09034498237747801,7,20260605
1,0.01,0.015607557663518307,1.1093430289697284e-31,8.879701863635502e-31,7.107729811966344e-30,2,2.7307774091226493,0.09034498237747801,7,20260605
1,0.003,0.004717030254662641,3.7748231988523557e-32,5.496196921458908e-31,8.002541843188429e-30,2,2.74329906892888,0.09034498237747801,7,20260605
1,0.001,0.0015756555177916672,2.7733394516875716e-32,6.986704774014791e-31,1.760117881333921e-29,2,2.7468875610116794,0.09034498237747801,7,20260605
