n,k,a,eta,defect,ratio_sqrt,ratio_linear,rank,eig_cond,trial,seed
3,2,0.003,0.004910186651530672,0.0011710921672785605,0.016712525218094278,0.23850257645775874,2,2.2045892383793393,17,20260602
3,2,0.003,0.003537352478414101,0.0007889270685807144,0.013264707832193487,0.22302755334532384,2,2.7531466535727502,18,20260602
3,2,0.003,0.005171286135133241,0.0007378482302888809,0.010260481830858747,0.14268176446010367,2,2.0994961735635167,19,20260602
3,2,0.003,0.003953747370773282,0.0006571545862399836,0.010451126034221464,0.16621056547461097,2,2.511608033615451,20,20260602
3,2,0.003,0.004586183094456426,0.00048525180087908876,0.007165416860112304,0.10580733278303685,2,2.324244962585542,21,20260602
3,2,0.003,0.003296360616814924,0.0017755095150771378,0.03092471071172473,0.5386272078425407,2,1.9553890833040055,22,20260602
3,2,0.003,0.0032357409346598903,0.0021383805064726855,0.0375922322513293,0.66086270491165,2,2.096028034716739,23,20260602
3,2,0.003,0.0028579922612535697,0.000759522783974503,0.014207258484184084,0.26575396801157253,2,1.9351019068679134,24,20260602
3,2,0.003,0.004281574319320718,0.00020614487393296626,0.0031504369794449275,0.04814698018967743,2,1.9589193841897377,25,20260602
3,2,0.003,0.00503750874353865,0.0006220386043064677,0.008764142529299322,0.12348139446990027,2,2.2872336346989286,26,20260602
3,2,0.003,0.0022724344770650466,0.0015166687952760658,0.03181596253727375,0.667420253733746,2,2.2161824301756132,27,20260602
3,2,0.003,0.0018815477230871211,0.001042324696883648,0.02402953733733713,0.55397196897747,2,2.046549981465782,28,20260602
3,2,0.003,0.004638490688621472,0.00060152059185474,0.008832062924926398,0.12968024131864925,2,2.226012481781568,29,20260602
3,2,0.003,0.004859196024123591,0.00037153319565227363,0.005329855237443254,0.07645980812623909,2,1.9616407136515417,30,20260602
3,2,0.003,0.004391074087566181,0.0003560255390946668,0.005372739330149945,0.0810793742020416,2,1.998455722361112,31,20260602
3,2,0.003,0.0038076988443388254,0.00044441793910472905,0.007202118868925055,0.11671562202601095,2,2.761019609258001,32,20260602
3,2,0.003,0.004712963314505371,0.0008837109754860402,0.012872509447546806,0.18750644053735568,2,2.175404167693768,33,20260602
3,2,0.003,0.0029381415786579918,0.0005236953564451763,0.009661451176416643,0.17824034084987025,2,2.0037036139840434,34,20260602
3,2,0.003,0.004335740799541447,0.0006393991904877574,0.009710473927121184,0.14747172860411328,2,2.0821926827744437,35,20260602
3,2,0.003,0.0032644426331046375,0.0014937766467506915,0.026144548426110838,0.4575901048474055,2,2.1667489027470177,36,20260602
3,2,0.003,0.004756249553164789,0.0019040111772197382,0.02760814179768534,0.4003177621226407,2,2.0179301462249652,37,20260602
3,2,0.003,0.004559018849684259,0.000795331669188351,0.011779112834136886,0.17445237569996727,2,1.9347027349275445,38,20260602
3,2,0.003,0.0018155693067708077,0.0009517290317321663,0.022336077161723217,0.5242041866332948,2,1.9345167103056307,39,20260602
3,2,0.003,0.004135532915342787,0.00046869525386726693,0.007288276071736714,0.11333370171675146,2,2.6927214594668705,40,20260602
3,2,0.003,0.0038603475902288954,0.0009747569785973414,0.015688562338141136,0.2525049767706395,2,2.0591111826479604,41,20260602
3,2,0.003,0.002418330582016657,0.0016746691751975673,0.03405424001104361,0.6924897644891267,2,1.958263609632079,42,20260602
3,2,0.003,0.004526861763704833,0.00151787885010143,0.022559968726088238,0.3353048821307902,2,2.0467141405752995,43,20260602
3,2,0.003,0.002302610818458239,0.0005941258749236916,0.012381355585231414,0.25802270629541335,2,1.938043853866975,44,20260602
3,2,0.003,0.004967497602344626,0.0005348483761116117,0.007588603267243118,0.10766957911749506,2,2.0809690596649717,45,20260602
3,2,0.003,0.002872192069487378,0.002450861722539296,0.045731144419771025,0.8533070432774783,2,1.9426802793499198,46,20260602
3,2,0.003,0.002574570448481202,0.0005821550627177274,0.011473245555634937,0.22611735602774202,2,2.24656104887167,47,20260602
3,2,0.003,0.004324097962995864,0.0009858408195793588,0.01499198138613226,0.2279876237809235,2,2.045726193246246,48,20260602
3,2,0.003,0.0028950904986033313,0.0016314035298778296,0.030320078798311362,0.5635069199615218,2,1.9510893497952155,49,20260602
3,2,0.003,0.005662209744597224,0.0007577624179297065,0.010070246137457993,0.1338280374817887,2,2.2339228504859596,50,20260602
3,2,0.003,0.0029095201890913993,0.0012075098785521978,0.02238618068873023,0.41502027828488297,2,1.9641364595951345,51,20260602
3,2,0.003,0.003136196536339924,0.0006706776088552859,0.011976010603854819,0.21385063119736605,2,2.017010500127166,52,20260602
3,2,0.003,0.004185607990097517,0.0014188593133643,0.021931082042236965,0.3389852362478989,2,2.125997211933526,53,20260602
